Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,
174.49,2.63,38.76,36.48,46.52,64.8,,,,,,,,
195.01,3.18,38.76,38.42,45.91,64.8,,,,,,,,
246.33,3.19,41.22,36.96,46.83,64.8,,,,,,,,
205.28,3.59,44.16,38.42,46.53,65.29,,,,,,,,
236.07,3.62,43.67,41.32,46.22,66.28,,Static,Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT
174.49,3.63,43.67,40.84,47.14,65.79,,Count,216,216,216,216,216,216
215.54,4.15,46.13,44.72,47.45,66.77,,Max,3510.26,57.01,96.25,93.18,77.48,152.76
266.86,4.2,45.64,42.29,48.07,68.73,,Min,174.49,2.63,33.85,36.48,43.18,64.8
205.28,4.42,45.64,49.08,48.99,68.73,,Mean,1590.91,32.91,73.41,81.55,60.1,120.58
236.07,4.43,47.6,49.56,49.6,68.73,,Median,1590.91,32.91,73.41,81.55,60.1,120.58
266.86,5.25,47.6,45.2,50.22,68.24,,GeoMean,1313.87,25.36,68.54,75.38,59.92,111.74
246.33,5.3,49.08,44.72,51.14,69.23,,HarMean,871.02,17.38,66.56,73.75,59.35,108.02
266.86,5.39,49.57,47.14,51.45,70.21,,StdDev,1044.68,18.44,14.64,12.68,8.09,26.94
256.6,5.4,51.54,51.5,52.07,69.72,,Skewness,0.09,-0.06,-0.59,-1.47,-0.1,-0.36
318.18,6.22,54.48,53.44,52.68,70.7,,Kurtosis,-1.32,-1.49,-0.5,1.46,-0.67,-1.25
225.81,6.36,54.48,50.05,52.99,72.67,,Varrience,1096428.44,341.77,215.28,161.49,65.72,729.33
246.33,6.5,54.48,47.62,53.3,72.67,,Range,3335.78,54.38,62.4,56.7,34.3,87.96
307.92,6.6,53.5,50.53,54.53,72.67,,,,,,,,
308.96,6.8,51.54,52.96,55.45,71.19,,CC,Depth,Time,BHT ,Mud outlet temprature,Mud outlet temprature,SFT
225.81,7.19,54.48,52.96,56.06,72.17,,Depth,1,,,,,
297.65,7.33,54.98,54.89,57.29,73.65,,Time,0.99192767,1,,,,
328.45,7.47,56.45,53.44,58.22,75.12,,BHT ,0.711947165,0.744213211,1,,,
379.77,7.74,60.38,57.8,58.52,75.12,,Mud outlet temprature,0.774075598,0.793269544,0.606581194,1,,
359.24,7.79,57.43,58.29,59.14,76.11,,Mud outlet temprature,0.82624587,0.841683373,0.643452427,0.603271054,1,
338.71,8.02,60.38,59.74,59.45,76.11,,SFT,0.951191239,0.971699892,0.736063571,0.844328944,0.803816324,1
328.45,8.29,59.4,61.19,59.75,76.6,,,,,,,,
