Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,,,,,,,,,,,,,,,
372.38,2.53,51.13,44.68,46.52,47.38,,,,,,,,,,,,,,,,,,,,,,
378.05,2.67,52.05,44.38,46.52,47.38,,,,,,,,,,,,,,,,,,,,,,
389.39,2.80,52.05,44.38,45.91,47.68,,,,,,,,,,,,,,,,,,,,,,
395.06,2.93,51.13,45.30,46.83,48.29,,,,,,,,,,,,,,,,,,,,,,
423.40,3.07,49.29,44.69,46.53,51.36,,,Static,Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT
434.74,3.20,48.37,45.61,46.22,51.67,,,Count,397.00,397.00,397,397.00,397.00,397,,,,,,,Depth,1,,,,,
468.75,3.33,46.53,45.61,47.14,52.89,,,Max,3002.62,58.00,111.92,67.90,78.73,215.51,,,,,,,Time,0.938891447,1,,,,
480.09,3.47,48.37,46.84,47.45,55.96,,,Min,372.38,2.53,44.41,38.26,43.18,47.38,,,,,,,BHT,0.924028726,0.82268541,1,,,
480.09,3.60,49.30,47.45,48.07,55.34,,,Mean,1885.90,22.40,75.84,56.11,61.99,139.26,,,,,,,Mud Inlet Temp,0.181590968,0.091071466,0.134112009,1,,
463.08,3.73,50.83,48.99,48.99,54.42,,,Median,1885.90,22.40,75.84,56.11,61.99,139.26,,,,,,,Mud Outlet Temp,0.633323891,0.382518879,0.658663784,0.206538998,1,
451.74,3.87,52.06,48.99,49.60,55.34,,,GeoMean,1540.93,20.53,75.14,55.34,61.36,127.60,,,,,,,SFT,0.996887371,0.9465519,0.912715482,0.192980332,0.612268024,1
440.41,4.00,53.90,49.92,50.22,55.65,,,HarMean,1295.72,16.32,73.35,55.06,60.74,117.57,,,,,,,,,,,,,
434.74,4.13,55.13,51.14,51.14,56.87,,,StdDev,799.38,11.96,16.54,5.24,8.45,47.31,,,,,,,,,,,,,
446.08,4.27,55.13,51.45,51.45,57.49,,,Skewness,-0.11,0.74,0.19,-0.55,-0.14,-0.12,,,,,,,,,,,,,
468.75,4.40,53.90,52.07,52.07,57.79,,,Kurtosis,-1.30,0.64,-0.95,0.21,-0.75,-1.20,,,,,,,,,,,,,
491.42,4.53,53.91,53.91,52.68,59.32,,,Varrience,640626.58,143.48,274.36,27.57,71.66,2243.81,,,,,,,,,,,,,
508.43,4.80,52.99,53.61,52.99,59.94,,,Range,2630.23,55.47,67.51,29.63,35.56,168.14,,,,,,,,,,,,,
525.44,5.07,54.52,54.22,53.30,60.86,,,,,,,,,,,,,,,,,,,,,,
